source_record_id,CanonicalFacilityID,canonical_key
1385,FAC-0100,renfrew house|49.2543|-123.0301
1433,FAC-0101,robson medical centre|49.2784|-123.1154
1446,FAC-0102,royal arch masonic home|49.2135|-123.0288
1457,FAC-0103,s u c c e s s simon k y lee seniors care home|49.2798|-123.105
1466,FAC-0104,salvation army harbour light centre|49.2824|-123.101
1485,FAC-0105,seymour health centre|49.2651|-123.1405
1489,FAC-0106,shaw place|49.2326|-123.095
1513,FAC-0107,simply wellness|49.2462|-123.0676
1514,FAC-0108,sina pharmacy and health centre|49.2795|-123.1194
1524,FAC-0109,sophia house|49.2416|-123.0982
1526,FAC-0110,south granville park lodge|49.2592|-123.142
1531,FAC-0111,south vancouver medical clinic|49.2088|-123.0993
1546,FAC-0112,st jude s anglican home|49.2469|-123.1227
1549,FAC-0113,st paul s hospital burrard building|49.2806|-123.1289
1550,FAC-0114,st paul s hospital providence building|49.2806|-123.1289
1551,FAC-0115,st paul s hospital providence ii building|49.2806|-123.1289
1553,FAC-0116,st vincent s brock fahrni pavilion|49.2433|-123.1232
1554,FAC-0117,st vincent s langara|49.2148|-123.1113
1558,FAC-0118,starburst home care|49.2469|-123.091
1573,FAC-0119,sunny hill health centre for children|49.252|-123.0483
1577,FAC-0120,sunrise of vancouver|49.2196|-123.1278
1591,FAC-0121,tanner house|49.2442|-123.0313
1613,FAC-0122,the doctors office|49.2636|-123.1215
1650,FAC-0123,three links care centre|49.2503|-123.0429
1652,FAC-0124,tilikum house|49.2578|-123.0384
1657,FAC-0125,together we can|49.237|-123.047
1676,FAC-0126,turning point recovery society vancouver|49.2597|-123.1139
1691,FAC-0127,ultima medical services|49.2865|-123.1213
1692,FAC-0128,una medical clinic|49.2579|-123.1275
1705,FAC-0129,vancouver detoxification centre|49.2673|-123.097
1706,FAC-0135,vancouver general hospital|49.2616|-123.1239
1707,FAC-0130,vancouver general hospital banfield pavilion|49.2612|-123.1188
1708,FAC-0131,vancouver general hospital gordon and leslie diamond health care centre|49.2612|-123.1257
1709,FAC-0132,vancouver general hospital health centre|49.2605|-123.1208
1710,FAC-0133,vancouver general hospital jim pattison pavilion|49.2606|-123.1241
1712,FAC-0134,vancouver general hospital willow pavilion|49.2605|-123.122
1715,FAC-0136,vancouver hospice|49.2443|-123.14
1722,FAC-0137,venture|49.2591|-123.1003
1734,FAC-0138,victory house|49.2825|-123.0964
1736,FAC-0139,villa carital|49.2566|-123.0521
1737,FAC-0140,villa cathay care home|49.2772|-123.084
1740,FAC-0141,virginia house|49.2616|-123.1448
1741,FAC-0142,vista|49.2549|-123.071
1753,FAC-0143,waterloo rest home ltd|49.2698|-123.18
1754,FAC-0144,wave medical clinic|49.2795|-123.1285
1761,FAC-0145,west 63rd home|49.2134|-123.1139
1803,FAC-0146,windermere care centre|49.2603|-123.125
1806,FAC-0147,winston manor|49.266|-123.1686
1810,FAC-0148,woodvan|49.2144|-123.0778
1815,FAC-0149,yaletown house|49.2753|-123.119
1817,FAC-0150,yaletown medical clinic|49.2734|-123.1234
1819,FAC-0151,yew residence|49.23|-123.1591
1820,FAC-0152,youville residence|49.2406|-123.12
1822,FAC-0153,yyoung medical clinic and pharmacy|49.2699|-123.1008
