index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,province_normalized,city_normalized,facility_name_normalized,source_record_id,InsideVancouverCSD2016,CMNTY_HLTH_SERV_AREA_CODE,CMNTY_HLTH_SERV_AREA_NAME,SpatialAssignmentStatus,coord_key,canonical_key,CanonicalFacilityID
1692,una medical clinic,,Ambulatory health care services,Province of British Columbia,,1027,west 15 avenue,V6H1R7,vancouver,bc,1027 west 15th avenue vancouver bc v6h 1r7,Vancouver,5915022,59,49.257857,-123.127501,BC,vancouver,una medical clinic,1692,True,3213,Fairview,Assigned by point-in-polygon,49.2579|-123.1275,una medical clinic|49.2579|-123.1275,FAC-0128
1705,vancouver detoxification centre,,Nursing and residential care facilities,Province of British Columbia,,377,e 2 ave,V5T1B9,vancouver,bc,377 e 2nd ave vancouver bc v5t 1b9,Vancouver,5915022,59,49.267258,-123.097,BC,vancouver,vancouver detoxification centre,1705,True,3252,Mount Pleasant,Assigned by point-in-polygon,49.2673|-123.097,vancouver detoxification centre|49.2673|-123.097,FAC-0129
1706,vancouver general hospital,general,Hospitals,Public Health Agency of Canada,,855,w 12 ave,V5Z1M9,vancouver,bc,855 w. 12th ave. vancouver bc v5z 1m9,Vancouver,5915022,59,49.261616,-123.1239113,BC,vancouver,vancouver general hospital,1706,True,3213,Fairview,Assigned by point-in-polygon,49.2616|-123.1239,vancouver general hospital|49.2616|-123.1239,FAC-0135
1707,vancouver general hospital - banfield pavilion,,Hospitals,Province of British Columbia,,2785,ash street,V5Z1M9,vancouver,bc,2785 ash street vancouver bc v5z 1m9,Vancouver,5915022,59,49.261231,-123.118806,BC,vancouver,vancouver general hospital banfield pavilion,1707,True,3213,Fairview,Assigned by point-in-polygon,49.2612|-123.1188,vancouver general hospital banfield pavilion|49.2612|-123.1188,FAC-0130
1708,vancouver general hospital - gordon and leslie diamond health care centre,,Hospitals,Province of British Columbia,,2775,laurel street,V5Z1M9,vancouver,bc,2775 laurel street vancouver bc v5z 1m9,Vancouver,5915022,59,49.261187,-123.125655,BC,vancouver,vancouver general hospital gordon and leslie diamond health care centre,1708,True,3213,Fairview,Assigned by point-in-polygon,49.2612|-123.1257,vancouver general hospital gordon and leslie diamond health care centre|49.2612|-123.1257,FAC-0131
1709,vancouver general hospital - health centre,,Hospitals,Province of British Columbia,,715,west 12 avenue,V5Z1N1,vancouver,bc,715 west 12th avenue vancouver bc v5z 1n1,Vancouver,5915022,59,49.26052,-123.120849,BC,vancouver,vancouver general hospital health centre,1709,True,3213,Fairview,Assigned by point-in-polygon,49.2605|-123.1208,vancouver general hospital health centre|49.2605|-123.1208,FAC-0132
1710,vancouver general hospital - jim pattison pavilion,,Hospitals,Province of British Columbia,,899,west 12 avenue,V5Z1M9,vancouver,bc,899 west 12th avenue vancouver bc v5z 1m9,Vancouver,5915022,59,49.260558,-123.124094,BC,vancouver,vancouver general hospital jim pattison pavilion,1710,True,3213,Fairview,Assigned by point-in-polygon,49.2606|-123.1241,vancouver general hospital jim pattison pavilion|49.2606|-123.1241,FAC-0133
1712,vancouver general hospital - willow pavilion,,Hospitals,Province of British Columbia,,805,west 12 avenue,V5Z1M9,vancouver,bc,805 west 12th avenue vancouver bc v5z 1m9,Vancouver,5915022,59,49.26051,-123.122,BC,vancouver,vancouver general hospital willow pavilion,1712,True,3213,Fairview,Assigned by point-in-polygon,49.2605|-123.122,vancouver general hospital willow pavilion|49.2605|-123.122,FAC-0134
1715,vancouver hospice,,Nursing and residential care facilities,Province of British Columbia,,4615,granville st,V6H3M1,vancouver,bc,4615 granville st vancouver bc v6h 3m1,Vancouver,5915022,59,49.24427,-123.14,BC,vancouver,vancouver hospice,1715,True,3241,Shaughnessy/Arbutus Ridge/Kerrisdale,Assigned by point-in-polygon,49.2443|-123.14,vancouver hospice|49.2443|-123.14,FAC-0136
1722,venture,,Nursing and residential care facilities,Province of British Columbia,,220,e 13 ave,V5T2K4,vancouver,bc,220 e 13th ave vancouver bc v5t 2k4,Vancouver,5915022,59,49.2590505,-123.1002884,BC,vancouver,venture,1722,True,3252,Mount Pleasant,Assigned by point-in-polygon,49.2591|-123.1003,venture|49.2591|-123.1003,FAC-0137
1734,victory house,,Nursing and residential care facilities,Province of British Columbia,,353,e cordova st,V6A1L4,vancouver,bc,353 e cordova st vancouver bc v6a 1l4,Vancouver,5915022,59,49.2824813,-123.096363,BC,vancouver,victory house,1734,True,3221,Downtown Eastside,Assigned by point-in-polygon,49.2825|-123.0964,victory house|49.2825|-123.0964,FAC-0138
1736,villa carital,,Nursing and residential care facilities,Province of British Columbia,,3050,penticton st,V5M4W2,vancouver,bc,3050 penticton st vancouver bc v5m 4w2,Vancouver,5915022,59,49.2565839,-123.0521465,BC,vancouver,villa carital,1736,True,3233,Renfrew-Collingwood,Assigned by point-in-polygon,49.2566|-123.0521,villa carital|49.2566|-123.0521,FAC-0139
1737,villa cathay care home,,Nursing and residential care facilities,Province of British Columbia,,970,union st,V6A3V1,vancouver,bc,970 union st vancouver bc v6a 3v1,Vancouver,5915022,59,49.277208,-123.084,BC,vancouver,villa cathay care home,1737,True,3221,Downtown Eastside,Assigned by point-in-polygon,49.2772|-123.084,villa cathay care home|49.2772|-123.084,FAC-0140
1740,virginia house,,Nursing and residential care facilities,Province of British Columbia,,1754,w 11 ave,V6J2C3,vancouver,bc,1754 w 11th ave vancouver bc v6j 2c3,Vancouver,5915022,59,49.2615516,-123.1447641,BC,vancouver,virginia house,1740,True,3213,Fairview,Assigned by point-in-polygon,49.2616|-123.1448,virginia house|49.2616|-123.1448,FAC-0141
1741,vista,,Nursing and residential care facilities,Province of British Columbia,,3360,fleming st,V5N3V5,vancouver,bc,3360 fleming st vancouver bc v5n 3v5,Vancouver,5915022,59,49.254868,-123.071,BC,vancouver,vista,1741,True,3231,Cedar Cottage,Assigned by point-in-polygon,49.2549|-123.071,vista|49.2549|-123.071,FAC-0142
1753,waterloo rest home ltd,,Nursing and residential care facilities,Province of British Columbia,,1835,waterloo st,V6R3G5,vancouver,bc,1835 waterloo st vancouver bc v6r 3g5,Vancouver,5915022,59,49.2697648,-123.1799944,BC,vancouver,waterloo rest home ltd,1753,True,3244,Kitsilano,Assigned by point-in-polygon,49.2698|-123.18,waterloo rest home ltd|49.2698|-123.18,FAC-0143
1754,wave medical clinic,,Ambulatory health care services,Province of British Columbia,,201-1160,burrard street,V6Z2E8,vancouver,bc,201-1160 burrard street vancouver bc v6z 2e8,Vancouver,5915022,59,49.279513,-123.12848,BC,vancouver,wave medical clinic,1754,True,3211,Downtown Vancouver,Assigned by point-in-polygon,49.2795|-123.1285,wave medical clinic|49.2795|-123.1285,FAC-0144
1761,west 63rd home,,Nursing and residential care facilities,Province of British Columbia,,369,w 63 ave,V5X2J1,vancouver,bc,369 w 63rd ave vancouver bc v5x 2j1,Vancouver,5915022,59,49.2134497,-123.1139356,BC,vancouver,west 63rd home,1761,True,3262,Oakridge/Marpole,Assigned by point-in-polygon,49.2134|-123.1139,west 63rd home|49.2134|-123.1139,FAC-0145
1803,windermere care centre,,Nursing and residential care facilities,Province of British Columbia,,900,w 12 ave,V5Z1N3,vancouver,bc,900 w 12th ave vancouver bc v5z 1n3,Vancouver,5915022,59,49.260325,-123.125,BC,vancouver,windermere care centre,1803,True,3213,Fairview,Assigned by point-in-polygon,49.2603|-123.125,windermere care centre|49.2603|-123.125,FAC-0146
1806,winston manor,,Nursing and residential care facilities,Province of British Columbia,,2805,w 7 ave,V6K1Z5,vancouver,bc,2805 w 7th ave vancouver bc v6k 1z5,Vancouver,5915022,59,49.2660448,-123.1686393,BC,vancouver,winston manor,1806,True,3244,Kitsilano,Assigned by point-in-polygon,49.266|-123.1686,winston manor|49.266|-123.1686,FAC-0147
1810,woodvan,,Nursing and residential care facilities,Province of British Columbia,,1384,e 61 ave,V5X2C7,vancouver,bc,1384 e 61st ave vancouver bc v5x 2c7,Vancouver,5915022,59,49.214385,-123.0777711,BC,vancouver,woodvan,1810,True,3263,Sunset,Assigned by point-in-polygon,49.2144|-123.0778,woodvan|49.2144|-123.0778,FAC-0148
1815,yaletown house,,Nursing and residential care facilities,Province of British Columbia,,1099,cambie st,V6B5A8,vancouver,bc,1099 cambie st vancouver bc v6b 5a8,Vancouver,5915022,59,49.275272,-123.119,BC,vancouver,yaletown house,1815,True,3211,Downtown Vancouver,Assigned by point-in-polygon,49.2753|-123.119,yaletown house|49.2753|-123.119,FAC-0149
1817,yaletown medical clinic,,Ambulatory health care services,Province of British Columbia,,1296,pacific boulevard,V6Z2V1,vancouver,bc,1296 pacific boulevard vancouver bc v6z 2v1,Vancouver,5915022,59,49.273447,-123.12342,BC,vancouver,yaletown medical clinic,1817,True,3211,Downtown Vancouver,Assigned by point-in-polygon,49.2734|-123.1234,yaletown medical clinic|49.2734|-123.1234,FAC-0150
1819,yew residence,,Nursing and residential care facilities,Province of British Columbia,,6191,yew st,V6M3Z1,vancouver,bc,6191 yew st vancouver bc v6m 3z1,Vancouver,5915022,59,49.2300254,-123.1590853,BC,vancouver,yew residence,1819,True,3241,Shaughnessy/Arbutus Ridge/Kerrisdale,Assigned by point-in-polygon,49.23|-123.1591,yew residence|49.23|-123.1591,FAC-0151
1820,youville residence,,Nursing and residential care facilities,Province of British Columbia,,4950,heather st,V5Z3L9,vancouver,bc,4950 heather st vancouver bc v5z 3l9,Vancouver,5915022,59,49.24058,-123.12,BC,vancouver,youville residence,1820,True,3253,South Cambie/Riley Park,Assigned by point-in-polygon,49.2406|-123.12,youville residence|49.2406|-123.12,FAC-0152
1822,yyoung medical clinic and pharmacy,,Ambulatory health care services,Province of British Columbia,,1721,main street,V5T3B5,vancouver,bc,1721 main street vancouver bc v5t 3b5,Vancouver,5915022,59,49.269917,-123.100793,BC,vancouver,yyoung medical clinic and pharmacy,1822,True,3252,Mount Pleasant,Assigned by point-in-polygon,49.2699|-123.1008,yyoung medical clinic and pharmacy|49.2699|-123.1008,FAC-0153
